name,link,rdf_link
Joseph Asbury,https://profiles.uchicago.edu/profiles/profile/915491,https://profiles.uchicago.edu/profiles/profile/915491/915491.rdf
Briseis Aschebrook-Kilfoy,https://profiles.uchicago.edu/profiles/profile/38257,https://profiles.uchicago.edu/profiles/profile/38257/38257.rdf
Hira Aslam,https://profiles.uchicago.edu/profiles/profile/75399594,https://profiles.uchicago.edu/profiles/profile/75399594/75399594.rdf
Aravind Athiviraham,https://profiles.uchicago.edu/profiles/profile/5478615,https://profiles.uchicago.edu/profiles/profile/5478615/5478615.rdf
Mohammad Atiq,https://profiles.uchicago.edu/profiles/profile/36658983,https://profiles.uchicago.edu/profiles/profile/36658983/36658983.rdf
Dinanath Praveen Attele,https://profiles.uchicago.edu/profiles/profile/70757144,https://profiles.uchicago.edu/profiles/profile/70757144/70757144.rdf
Jotham Austin,https://profiles.uchicago.edu/profiles/profile/2119153,https://profiles.uchicago.edu/profiles/profile/2119153/2119153.rdf
Caitlin Aveyard,https://profiles.uchicago.edu/profiles/profile/37223,https://profiles.uchicago.edu/profiles/profile/37223/37223.rdf
Jahnavi Avula,https://profiles.uchicago.edu/profiles/profile/39151,https://profiles.uchicago.edu/profiles/profile/39151/39151.rdf
Issam Awad,https://profiles.uchicago.edu/profiles/profile/39214,https://profiles.uchicago.edu/profiles/profile/39214/39214.rdf
TAYSIR AWAD,https://profiles.uchicago.edu/profiles/profile/40793812,https://profiles.uchicago.edu/profiles/profile/40793812/40793812.rdf
Azhar Awan,https://profiles.uchicago.edu/profiles/profile/36811,https://profiles.uchicago.edu/profiles/profile/36811/36811.rdf
Edward Awh,https://profiles.uchicago.edu/profiles/profile/12760233,https://profiles.uchicago.edu/profiles/profile/12760233/12760233.rdf
Cheryl Axelrod,https://profiles.uchicago.edu/profiles/profile/38043,https://profiles.uchicago.edu/profiles/profile/38043/38043.rdf
Joyce K. Aycock,https://profiles.uchicago.edu/profiles/profile/38752,https://profiles.uchicago.edu/profiles/profile/38752/38752.rdf
Bulent Aydogan,https://profiles.uchicago.edu/profiles/profile/38242,https://profiles.uchicago.edu/profiles/profile/38242/38242.rdf
Zaid Aziz,https://profiles.uchicago.edu/profiles/profile/9041989,https://profiles.uchicago.edu/profiles/profile/9041989/9041989.rdf
Ruba Azzam,https://profiles.uchicago.edu/profiles/profile/38071,https://profiles.uchicago.edu/profiles/profile/38071/38071.rdf
Christine Babcock,https://profiles.uchicago.edu/profiles/profile/37248,https://profiles.uchicago.edu/profiles/profile/37248/37248.rdf
Christine Babcock,https://profiles.uchicago.edu/profiles/profile/70443919,https://profiles.uchicago.edu/profiles/profile/70443919/70443919.rdf
Trissa Babrowski,https://profiles.uchicago.edu/profiles/profile/3476370,https://profiles.uchicago.edu/profiles/profile/3476370/3476370.rdf
Marielena Bachier-Rodriguez,https://profiles.uchicago.edu/profiles/profile/25382539,https://profiles.uchicago.edu/profiles/profile/25382539/25382539.rdf
PIOTR BACHUL,https://profiles.uchicago.edu/profiles/profile/45700766,https://profiles.uchicago.edu/profiles/profile/45700766/45700766.rdf
Michael Bada,https://profiles.uchicago.edu/profiles/profile/53127423,https://profiles.uchicago.edu/profiles/profile/53127423/53127423.rdf
Jackie Bader,https://profiles.uchicago.edu/profiles/profile/83727078,https://profiles.uchicago.edu/profiles/profile/83727078/83727078.rdf
Kenneth Bader,https://profiles.uchicago.edu/profiles/profile/9190820,https://profiles.uchicago.edu/profiles/profile/9190820/9190820.rdf
Sameer Badlani,https://profiles.uchicago.edu/profiles/profile/37584,https://profiles.uchicago.edu/profiles/profile/37584/37584.rdf
Louis Baeseman,https://profiles.uchicago.edu/profiles/profile/45700767,https://profiles.uchicago.edu/profiles/profile/45700767/45700767.rdf
Remzi Bag,https://profiles.uchicago.edu/profiles/profile/5478536,https://profiles.uchicago.edu/profiles/profile/5478536/5478536.rdf
Matthew Baggott,https://profiles.uchicago.edu/profiles/profile/39198,https://profiles.uchicago.edu/profiles/profile/39198/39198.rdf
Arshiya Baig,https://profiles.uchicago.edu/profiles/profile/37426,https://profiles.uchicago.edu/profiles/profile/37426/37426.rdf
Jalal Baig,https://profiles.uchicago.edu/profiles/profile/83088352,https://profiles.uchicago.edu/profiles/profile/83088352/83088352.rdf
Julian Bailes,https://profiles.uchicago.edu/profiles/profile/37587,https://profiles.uchicago.edu/profiles/profile/37587/37587.rdf
Frank Bailey,https://profiles.uchicago.edu/profiles/profile/69566081,https://profiles.uchicago.edu/profiles/profile/69566081/69566081.rdf
Brandon Baird,https://profiles.uchicago.edu/profiles/profile/17644631,https://profiles.uchicago.edu/profiles/profile/17644631/17644631.rdf
Shailesh Bajaj,https://profiles.uchicago.edu/profiles/profile/37905,https://profiles.uchicago.edu/profiles/profile/37905/37905.rdf
Senthilkumar Bakhara Rajamohan,https://profiles.uchicago.edu/profiles/profile/38235,https://profiles.uchicago.edu/profiles/profile/38235/38235.rdf
Tessa Balach,https://profiles.uchicago.edu/profiles/profile/8654852,https://profiles.uchicago.edu/profiles/profile/8654852/8654852.rdf
Karthikeyan Balasubramanian,https://profiles.uchicago.edu/profiles/profile/38267,https://profiles.uchicago.edu/profiles/profile/38267/38267.rdf
